year,num_suicide_male,num_suicide_female,suicide_rate,suicide_rate_male,suicide_rate_female,num_suicide_age_0_19,num_suicide_age_20_29 ,num_suicide_age_30_39 ,num_suicide_age_40_49 ,num_suicide_age_50_59 ,num_suicide_60_plus,num_suicide_age_unknown,num_suicide_total
1978,12859,7929,18,22.7,13.6,866,3741,3597,3641,2753,6024,166,20788
1979,13386,8117,18.5,23.4,13.8,919,3654,3808,3796,2977,6163,186,21503
1980,13155,7893,18,22.8,13.3,678,3261,3791,3911,3138,6166,103,21048
1981,12942,7492,17.3,22.3,12.5,620,2777,3653,3996,3304,5985,99,20434
1982,13654,7574,17.9,23.4,12.6,599,2832,3787,4284,3616,6025,85,21228
1983,17116,8086,21.1,29.1,13.3,657,3050,4099,5460,4846,7004,86,25202
1984,16508,8088,20.4,27.9,13.2,572,2737,3855,5290,4912,7147,83,24596
1985,15624,7975,19.5,26.3,13,557,2548,3519,4936,4815,7143,81,23599
1986,16497,9027,21,27.6,14.6,802,2824,3687,4948,5385,7794,84,25524
1987,15802,8658,20,26.3,13.9,577,2588,3447,4696,5129,7943,80,24460
1988,14934,8808,19.3,24.8,14.1,603,2479,3180,4459,4886,8044,91,23742
1989,13818,8618,18.2,22.8,13.7,534,2357,2865,4202,4296,8075,107,22436
1990,13102,8244,17.3,21.6,13.1,467,2226,2543,3982,4176,7853,99,21346
1991,13242,7842,17,21.7,12.4,454,2215,2391,3953,4423,7576,72,21084
1992,14296,7808,17.7,23.4,12.3,524,2313,2391,4186,4708,7912,70,22104
1993,14468,7383,17.5,23.6,11.6,446,2251,2473,4146,4846,7525,164,21851
1994,14560,7119,17.3,23.7,11.2,580,2494,2410,3806,4732,7438,219,21679
1995,14874,7571,17.9,24.2,11.8,515,2509,2467,3999,5031,7739,185,22445
1996,15393,7711,18.4,24.9,12,492,2457,2501,4147,5013,8244,250,23104
1997,16416,7975,19.3,26.6,12.4,469,2534,2767,4200,5422,8747,252,24391
1998,23013,9850,26,37.1,15.3,720,3472,3614,5359,7898,11494,306,32863
1999,23512,9536,26.1,37.9,14.8,674,3475,3797,5363,8288,11123,328,33048
2000,22727,9230,25.2,36.6,14.2,598,3301,3685,4818,8245,10997,313,31957
2001,22144,8898,24.4,35.6,13.7,586,3095,3622,4643,7883,10891,322,31042
2002,23080,9063,25.2,37,13.9,502,3018,3935,4813,8462,11119,294,32143
2003,24963,9464,27,40,14.5,613,3353,4603,5419,8614,11529,296,34427
2004,23272,9053,25.3,37.3,13.8,589,3247,4333,5102,7772,10994,288,32325
2005,23540,9012,25.5,37.8,13.8,608,3409,4606,5208,7586,10894,241,32552
2006,22813,9342,25.1,36.6,14.3,623,3395,4497,5008,7246,11120,266,32155
2007,23478,9615,25.8,37.6,14.7,548,3309,4767,5096,7046,12107,220,33093
2008,22831,9418,25.2,36.6,14.3,611,3438,4850,4970,6363,11793,224,32249
2009,23472,9373,25.7,37.6,14.3,565,3470,4794,5261,6491,12034,230,32845
2010,22283,9407,24.7,35.8,14.3,551,3240,4596,5165,5959,11982,196,31690
2011,20955,9696,24,33.7,14.8,620,3304,4455,5053,5375,11661,181,30651
2012,19273,8585,21.8,31,13.1,586,3000,3781,4616,4668,11048,158,27858
2013,18787,8496,21.4,30.3,13,545,2801,3705,4589,4484,11034,123,27283
2014,17386,8041,20,28.1,12.3,536,2684,3413,4234,4181,10290,87,25427
2015,16681,7344,18.9,27,11.3,553,2352,3087,4069,3979,9883,101,24025
2016,15121,6776,17.3,24.5,10.4,519,2235,2824,3739,3631,8871,77,21897
2017,14826,6495,16.8,24,10,567,2213,2703,3668,3593,8521,56,21321
2018,14290,6550,16.5,23.2,10.1,599,2154,2596,3498,3575,8366,52,20840
2019,14078,6091,16,22.9,9.4,659,2117,2526,3426,3435,7953,53,20169
2020,14055,7026,16.7,22.9,10.8,777,2521,2610,3568,3425,8126,54,21081
2021,13939,7068,16.8,22.9,11,749,2611,2554,3575,3618,7860,39,21007
2022,14746,7135,17.5,24.3,11.1,796,2483,2545,3665,4093,8249,48,21881
